TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SUCCESS_FLAG,ERRORS,SLOTS
[2023-08-08 14:29:18],152,5,4,5,-1,{},HCCCCR
[2023-08-08 14:29:19],153,1,0,0,-1,{},RTTTTT
[2023-08-08 14:29:20],154,3,3,3,0,{},HCMCMC
[2023-08-08 14:29:21],155,3,2,2,-1,{},CMCMRT
[2023-08-08 14:29:22],156,3,3,5,0,{},CMCMCM
[2023-08-08 14:29:23],157,3,3,8,0,{},CMCMCM
[2023-08-08 14:29:24],158,2,2,10,0,{},HHCMCM
[2023-08-08 14:29:25],159,3,3,3,0,{},CMCMCM
[2023-08-08 14:29:26],160,1,0,0,-1,{},RTTTTT
[2023-08-08 14:29:27],161,2,1,1,-1,{},CMRTTT
[2023-08-08 14:29:28],162,4,3,4,1,{},CMHCMC
[2023-08-08 14:29:29],163,1,0,4,-1,{},RTTTTT
[2023-08-08 14:29:30],164,4,3,3,1,{},CMCMCM
[2023-08-08 14:29:31],165,2,1,3,-1,{},HHHCRT
[2023-08-08 14:29:32],166,3,2,3,-1,{},CCRTTT
[2023-08-08 14:29:33],167,2,1,1,-1,{},CMRTTT
[2023-08-08 14:29:34],168,3,3,4,0,{},CMCMCM
[2023-08-08 14:29:35],169,3,2,6,-1,{},CMCMRT
[2023-08-08 14:29:36],170,2,1,1,-1,{},CMRTTT
[2023-08-08 14:29:37],171,3,3,4,0,{},CMHCMC
[2023-08-08 14:29:38],172,3,2,6,-1,{},HCMCMR
[2023-08-08 14:29:39],173,3,3,3,0,{},CMHCMC
[2023-08-08 14:29:40],174,1,0,3,-1,{},RTTTTT
[2023-08-08 14:29:41],175,1,0,3,-1,{},RTTTTT
[2023-08-08 14:29:42],176,3,3,3,0,{},CMCMCM
[2023-08-08 14:29:43],177,3,3,6,0,{},CMCMCM
[2023-08-08 14:29:44],178,3,3,9,0,{},HCMCMC
[2023-08-08 14:29:45],179,1,0,9,-1,{},RTTTTT
[2023-08-08 14:29:46],180,3,3,3,0,{},CMHCMC
[2023-08-08 14:29:47],181,2,1,4,-1,{},CMRTTT
[2023-08-08 14:29:48],182,1,0,0,-1,{},RTTTTT
[2023-08-08 14:29:49],183,3,3,3,0,{},CMCMCM
[2023-08-08 14:29:50],184,3,2,5,-1,{},CMCMRT
