TIMESTAMP,SLOTS
[2023-07-20 19:16:00],......
[2023-07-20 19:16:03],RTTTTT
[2023-07-20 19:16:04],RTTTTT
[2023-07-20 19:16:04],CCHHHC
[2023-07-20 19:16:05],CCHCCC
[2023-07-20 19:16:05],HCCCCR
[2023-07-20 19:16:05],CCCCCC
[2023-07-20 19:16:06],CCCHHC
[2023-07-20 19:16:06],CCCCRT
[2023-07-20 19:16:07],CCCCCC
[2023-07-20 19:16:07],CCCCCC
[2023-07-20 19:16:08],CHCCRT
[2023-07-20 19:16:08],CCRTTT
[2023-07-20 19:16:09],RTTTTT
[2023-07-20 19:16:10],CCCHCC
[2023-07-20 19:16:11],CCCCCC
[2023-07-20 19:16:12],RTTTTT
[2023-07-20 19:16:13],CCCRTT
[2023-07-20 19:16:14],CCRTTT
[2023-07-20 19:16:15],CCCCCE
[2023-07-20 19:16:16],RTTTTT
[2023-07-20 19:16:17],CCCCCC
[2023-07-20 19:16:18],RTTTTT
[2023-07-20 19:16:19],CCCCCC
[2023-07-20 19:16:20],CHCCCC
[2023-07-20 19:16:21],HCCHCC
[2023-07-20 19:16:22],CCHCCC
[2023-07-20 19:16:23],CCCCCC
[2023-07-20 19:16:24],CRTTTT
[2023-07-20 19:16:25],RTTTTT
[2023-07-20 19:16:26],CCRTTT
[2023-07-20 19:16:27],RTTTTT
[2023-07-20 19:16:28],CCCCCR
