TIMESTAMP,SLOTS
[2023-07-20 19:34:19],.RTTTT
[2023-07-20 19:34:20],RTTTTT
[2023-07-20 19:34:21],RTTTTT
[2023-07-20 19:34:22],RTTTTT
[2023-07-20 19:34:23],HHRTTT
[2023-07-20 19:34:24],RTTTTT
[2023-07-20 19:34:25],RTTTTT
[2023-07-20 19:34:26],RTTTTT
[2023-07-20 19:34:27],RTTTTT
[2023-07-20 19:34:28],CRTTTT
[2023-07-20 19:34:29],RTTTTT
[2023-07-20 19:34:30],RTTTTT
[2023-07-20 19:34:31],HRTTTT
[2023-07-20 19:34:32],RTTTTT
[2023-07-20 19:34:33],CRTTTT
[2023-07-20 19:34:34],RTTTTT
[2023-07-20 19:34:35],RTTTTT
[2023-07-20 19:34:36],CRTTTT
[2023-07-20 19:34:37],CRTTTT
[2023-07-20 19:34:38],RTTTTT
[2023-07-20 19:34:39],CHRTTT
[2023-07-20 19:34:40],RTTTTT
[2023-07-20 19:34:41],CRTTTT
[2023-07-20 19:34:42],RTTTTT
[2023-07-20 19:34:43],CCRTTT
[2023-07-20 19:34:44],RTTTTT
[2023-07-20 19:34:45],RTTTTT
[2023-07-20 19:34:46],RTTTTT
[2023-07-20 19:34:47],CRTTTT
[2023-07-20 19:34:48],RTTTTT
[2023-07-20 19:34:49],CRTTTT
[2023-07-20 19:34:50],RTTTTT
[2023-07-20 19:34:51],RTTTTT
[2023-07-20 19:34:52],RTTTTT
[2023-07-20 19:34:53],RTTTTT
[2023-07-20 19:34:54],RTTTTT
[2023-07-20 19:34:55],CRTTTT
[2023-07-20 19:34:56],RTTTTT
[2023-07-20 19:34:57],RTTTTT
[2023-07-20 19:34:58],CCCCCC
[2023-07-20 19:34:59],RTTTTT
[2023-07-20 19:35:00],CRTTTT
[2023-07-20 19:35:01],RTTTTT
[2023-07-20 19:35:02],RTTTTT
[2023-07-20 19:35:03],RTTTTT
[2023-07-20 19:35:04],RTTTTT
[2023-07-20 19:35:05],RTTTTT
[2023-07-20 19:35:06],CRTTTT
[2023-07-20 19:35:07],HRTTTT
[2023-07-20 19:35:08],CRTTTT
[2023-07-20 19:35:09],RTTTTT
[2023-07-20 19:35:10],RTTTTT
[2023-07-20 19:35:11],RTTTTT
[2023-07-20 19:35:12],RTTTTT
[2023-07-20 19:35:13],RTTTTT
[2023-07-20 19:35:14],RTTTTT
[2023-07-20 19:35:15],RTTTTT
[2023-07-20 19:35:16],RTTTTT
[2023-07-20 19:35:17],RTTTTT
[2023-07-20 19:35:18],RTTTTT
[2023-07-20 19:35:19],RTTTTT
[2023-07-20 19:35:20],RTTTTT
[2023-07-20 19:35:21],HRTTTT
[2023-07-20 19:35:22],RTTTTT
[2023-07-20 19:35:23],RTTTTT
[2023-07-20 19:35:24],RTTTTT
[2023-07-20 19:35:25],RTTTTT
[2023-07-20 19:35:26],CRTTTT
[2023-07-20 19:35:27],RTTTTT
[2023-07-20 19:35:28],RTTTTT
[2023-07-20 19:35:29],RTTTTT
[2023-07-20 19:35:30],RTTTTT
[2023-07-20 19:35:31],CRTTTT
