TIMESTAMP,EP,N_RX,N_ERR_PKTS,ERRS,SLOTS
2023-08-22 03:02:07.872841,161,1,0,{},RTTTTT
2023-08-22 03:02:08.874082,162,1,0,{},RTTTTT
2023-08-22 03:02:09.874017,163,1,0,{},RTTTTT
2023-08-22 03:02:10.872726,164,1,0,{},RTTTTT
2023-08-22 03:02:11.873308,165,1,0,{},RTTTTT
2023-08-22 03:02:12.873653,166,1,0,{},RTTTTT
2023-08-22 03:02:13.872721,167,1,0,{},RTTTTT
2023-08-22 03:02:14.873684,168,1,0,{},RTTTTT
2023-08-22 03:02:15.873453,169,1,0,{},RTTTTT
2023-08-22 03:02:16.873383,170,1,0,{},RTTTTT
2023-08-22 03:02:17.874000,171,1,0,{},RTTTTT
2023-08-22 03:02:18.874751,172,1,0,{},RTTTTT
2023-08-22 03:02:19.873434,173,1,0,{},RTTTTT
2023-08-22 03:02:20.873927,174,1,0,{},RTTTTT
2023-08-22 03:02:21.873084,175,1,0,{},RTTTTT
2023-08-22 03:02:22.873950,176,1,0,{},RTTTTT
2023-08-22 03:02:23.873302,177,1,0,{},RTTTTT
2023-08-22 03:02:24.873206,178,1,0,{},RTTTTT
2023-08-22 03:02:25.874141,179,1,0,{},RTTTTT
2023-08-22 03:02:26.874171,180,1,0,{},RTTTTT
2023-08-22 03:02:27.874693,181,1,0,{},RTTTTT
2023-08-22 03:02:28.873995,182,1,0,{},RTTTTT
2023-08-22 03:02:29.874478,183,2,1,{},CRTTTT
2023-08-22 03:02:30.873475,184,1,0,{},RTTTTT
2023-08-22 03:02:31.874228,185,1,0,{},RTTTTT
2023-08-22 03:02:32.873788,186,1,0,{},RTTTTT
2023-08-22 03:02:33.874307,187,1,0,{},RTTTTT
2023-08-22 03:02:34.873483,188,1,0,{},RTTTTT
2023-08-22 03:02:35.874780,189,1,0,{},RTTTTT
2023-08-22 03:02:36.873887,190,1,0,{},RTTTTT
2023-08-22 03:02:37.873890,191,1,0,{},RTTTTT
2023-08-22 03:02:38.875070,192,1,0,{},RTTTTT
2023-08-22 03:02:39.872936,193,1,0,{},RTTTTT
2023-08-22 03:02:40.873180,194,1,0,{},RTTTTT
2023-08-22 03:02:41.873792,195,1,0,{},HRTTTT
2023-08-22 03:02:42.875642,196,1,0,{},RTTTTT
2023-08-22 03:02:43.873717,197,1,0,{},RTTTTT
2023-08-22 03:02:44.873802,198,1,0,{},RTTTTT
2023-08-22 03:02:45.873162,199,1,0,{},RTTTTT
2023-08-22 03:02:46.873538,200,1,0,{},RTTTTT
2023-08-22 03:02:47.874162,201,1,0,{},RTTTTT
2023-08-22 03:02:48.874199,202,1,0,{},RTTTTT
2023-08-22 03:02:49.874024,203,1,0,{},RTTTTT
2023-08-22 03:02:50.874201,204,1,0,{},RTTTTT
2023-08-22 03:02:51.874040,205,1,0,{},RTTTTT
2023-08-22 03:02:52.874846,206,1,0,{},HRTTTT
2023-08-22 03:02:53.874233,207,1,0,{},RTTTTT
2023-08-22 03:02:54.873479,208,1,0,{},RTTTTT
2023-08-22 03:02:55.874335,209,1,0,{},RTTTTT
2023-08-22 03:02:56.873614,210,1,0,{},RTTTTT
2023-08-22 03:02:57.873048,211,1,0,{},RTTTTT
2023-08-22 03:02:58.874089,212,1,0,{},RTTTTT
2023-08-22 03:02:59.873924,213,1,0,{},RTTTTT
2023-08-22 03:03:00.874271,214,1,0,{},RTTTTT
2023-08-22 03:03:01.874145,215,1,0,{},RTTTTT
2023-08-22 03:03:02.873914,216,1,0,{},RTTTTT
2023-08-22 03:03:03.875008,217,1,0,{},RTTTTT
2023-08-22 03:03:04.875587,218,2,1,{},CRTTTT
2023-08-22 03:03:05.874265,219,1,0,{},RTTTTT
2023-08-22 03:03:06.873753,220,1,0,{},RTTTTT
2023-08-22 03:03:07.874215,221,2,1,{},CRTTTT
2023-08-22 03:03:08.873706,222,1,0,{},RTTTTT
2023-08-22 03:03:09.874255,223,1,0,{},RTTTTT
2023-08-22 03:03:10.874578,224,1,0,{},RTTTTT
2023-08-22 03:03:11.875604,225,1,0,{},RTTTTT
2023-08-22 03:03:12.874325,226,1,0,{},RTTTTT
2023-08-22 03:03:13.874331,227,1,0,{},RTTTTT
2023-08-22 03:03:14.873602,228,1,0,{},RTTTTT
2023-08-22 03:03:15.874241,229,1,0,{},RTTTTT
2023-08-22 03:03:16.876154,230,1,0,{},RTTTTT
2023-08-22 03:03:17.873787,231,1,0,{},RTTTTT
2023-08-22 03:03:18.874829,232,1,0,{},RTTTTT
2023-08-22 03:03:19.874042,233,1,0,{},RTTTTT
2023-08-22 03:03:20.874658,234,1,0,{},RTTTTT
2023-08-22 03:03:21.875378,235,1,0,{},RTTTTT
2023-08-22 03:03:22.875250,236,1,0,{},RTTTTT
2023-08-22 03:03:23.874550,237,1,0,{},RTTTTT
2023-08-22 03:03:24.874629,238,1,0,{},RTTTTT
2023-08-22 03:03:25.874112,239,1,0,{},RTTTTT
2023-08-22 03:03:26.874568,240,1,0,{},RTTTTT
2023-08-22 03:03:27.874419,241,1,0,{},RTTTTT
2023-08-22 03:03:28.873788,242,1,0,{},RTTTTT
2023-08-22 03:03:29.874423,243,1,0,{},RTTTTT
2023-08-22 03:03:30.874469,244,1,0,{},RTTTTT
2023-08-22 03:03:31.874778,245,1,0,{},RTTTTT
2023-08-22 03:03:32.874646,246,1,0,{},HRTTTT
2023-08-22 03:03:33.873640,247,1,0,{},RTTTTT
2023-08-22 03:03:34.874139,248,1,0,{},RTTTTT
2023-08-22 03:03:35.874253,249,1,0,{},RTTTTT
2023-08-22 03:03:36.874292,250,1,0,{},RTTTTT
2023-08-22 03:03:37.874414,251,1,0,{},RTTTTT
2023-08-22 03:03:38.874783,252,1,0,{},HRTTTT
2023-08-22 03:03:39.874083,253,1,0,{},RTTTTT
2023-08-22 03:03:40.874761,254,1,0,{},RTTTTT
2023-08-22 03:03:41.874343,255,2,1,{},CRTTTT
2023-08-22 03:03:42.874697,256,1,0,{},RTTTTT
2023-08-22 03:03:43.875635,257,1,0,{},RTTTTT
2023-08-22 03:03:44.875333,258,1,0,{},RTTTTT
2023-08-22 03:03:45.874330,259,1,0,{},RTTTTT
2023-08-22 03:03:46.874324,260,1,0,{},RTTTTT
2023-08-22 03:03:47.875459,261,1,0,{},RTTTTT
2023-08-22 03:03:48.874206,262,1,0,{},RTTTTT
2023-08-22 03:03:49.874756,263,1,0,{},RTTTTT
2023-08-22 03:03:50.874562,264,1,0,{},RTTTTT
2023-08-22 03:03:51.874830,265,1,0,{},RTTTTT
2023-08-22 03:03:52.874572,266,1,0,{},RTTTTT
2023-08-22 03:03:53.874563,267,2,1,{},CRTTTT
2023-08-22 03:03:54.875099,268,1,0,{},RTTTTT
2023-08-22 03:03:55.876163,269,1,0,{},RTTTTT
2023-08-22 03:03:56.874438,270,1,0,{},RTTTTT
2023-08-22 03:03:57.875707,271,1,0,{},RTTTTT
2023-08-22 03:03:58.874395,272,1,0,{},RTTTTT
2023-08-22 03:03:59.873940,273,1,0,{},HRTTTT
2023-08-22 03:04:00.875132,274,1,0,{},HRTTTT
2023-08-22 03:04:01.875598,275,1,0,{},RTTTTT
2023-08-22 03:04:02.874282,276,1,0,{},RTTTTT
2023-08-22 03:04:03.874759,277,1,0,{},RTTTTT
2023-08-22 03:04:04.874828,278,1,0,{},RTTTTT
2023-08-22 03:04:05.874567,279,1,0,{},RTTTTT
2023-08-22 03:04:06.873878,280,1,0,{},RTTTTT
2023-08-22 03:04:07.874632,281,1,0,{},RTTTTT
2023-08-22 03:04:08.874477,282,1,0,{},RTTTTT
2023-08-22 03:04:09.874611,283,1,0,{},RTTTTT
2023-08-22 03:04:10.875423,284,1,0,{},RTTTTT
2023-08-22 03:04:11.874438,285,2,1,{},CRTTTT
2023-08-22 03:04:12.874890,286,1,0,{},RTTTTT
2023-08-22 03:04:13.874277,287,1,0,{},RTTTTT
2023-08-22 03:04:14.875005,288,1,0,{},RTTTTT
2023-08-22 03:04:15.875122,289,1,0,{},RTTTTT
2023-08-22 03:04:16.874530,290,1,0,{},RTTTTT
2023-08-22 03:04:17.875264,291,1,0,{},RTTTTT
2023-08-22 03:04:18.874823,292,1,0,{},RTTTTT
2023-08-22 03:04:19.875142,293,1,0,{},RTTTTT
2023-08-22 03:04:20.875066,294,1,0,{},RTTTTT
2023-08-22 03:04:21.875036,295,1,0,{},RTTTTT
2023-08-22 03:04:22.874739,296,1,0,{},RTTTTT
2023-08-22 03:04:23.875293,297,1,0,{},RTTTTT
2023-08-22 03:04:24.874752,298,1,0,{},RTTTTT
2023-08-22 03:04:25.874704,299,1,0,{},RTTTTT
2023-08-22 03:04:26.874354,300,1,0,{},RTTTTT
2023-08-22 03:04:27.875742,301,1,0,{},RTTTTT
2023-08-22 03:04:28.874992,302,1,0,{},RTTTTT
2023-08-22 03:04:29.874899,303,1,0,{},RTTTTT
2023-08-22 03:04:30.875018,304,1,0,{},RTTTTT
2023-08-22 03:04:31.875835,305,1,0,{},RTTTTT
2023-08-22 03:04:32.874832,306,1,0,{},RTTTTT
2023-08-22 03:04:33.874734,307,1,0,{},RTTTTT
2023-08-22 03:04:34.875298,308,1,0,{},RTTTTT
2023-08-22 03:04:35.875104,309,1,0,{},HRTTTT
2023-08-22 03:04:36.875245,310,1,0,{},RTTTTT
2023-08-22 03:04:37.875858,311,1,0,{},RTTTTT
2023-08-22 03:04:38.875359,312,1,0,{},RTTTTT
2023-08-22 03:04:39.874415,313,1,0,{},RTTTTT
2023-08-22 03:04:40.875590,314,1,0,{},RTTTTT
2023-08-22 03:04:41.875452,315,1,0,{},RTTTTT
2023-08-22 03:04:42.875531,316,1,0,{},RTTTTT
2023-08-22 03:04:43.876161,317,1,0,{},RTTTTT
2023-08-22 03:04:44.875598,318,1,0,{},RTTTTT
2023-08-22 03:04:45.875515,319,1,0,{},RTTTTT
2023-08-22 03:04:46.875212,320,1,0,{},RTTTTT
2023-08-22 03:04:47.875497,321,1,0,{},RTTTTT
2023-08-22 03:04:48.875487,322,1,0,{},RTTTTT
2023-08-22 03:04:49.876769,323,1,0,{},RTTTTT
2023-08-22 03:04:50.876899,324,1,0,{},RTTTTT
2023-08-22 03:04:51.877243,325,1,0,{},RTTTTT
2023-08-22 03:04:52.876711,326,1,0,{},RTTTTT
2023-08-22 03:04:53.875538,327,1,0,{},RTTTTT
2023-08-22 03:04:54.875340,328,1,0,{},RTTTTT
2023-08-22 03:04:55.876634,329,1,0,{},RTTTTT
2023-08-22 03:04:56.875355,330,1,0,{},RTTTTT
2023-08-22 03:04:57.874824,331,1,0,{},RTTTTT
2023-08-22 03:04:58.875689,332,1,0,{},RTTTTT
2023-08-22 03:04:59.876576,333,1,0,{},RTTTTT
2023-08-22 03:05:00.875182,334,1,0,{},RTTTTT
2023-08-22 03:05:01.875604,335,1,0,{},RTTTTT
2023-08-22 03:05:02.874092,336,1,0,{},RTTTTT
2023-08-22 03:05:03.875428,337,1,0,{},RTTTTT
2023-08-22 03:05:04.876096,338,1,0,{},RTTTTT
2023-08-22 03:05:05.877598,339,1,0,{},RTTTTT
2023-08-22 03:05:06.876283,340,1,0,{},RTTTTT
2023-08-22 03:05:07.875900,341,1,0,{},RTTTTT
2023-08-22 03:05:08.875572,342,1,0,{},RTTTTT
2023-08-22 03:05:09.876270,343,1,0,{},RTTTTT
2023-08-22 03:05:10.876102,344,1,0,{},RTTTTT
2023-08-22 03:05:11.875628,345,3,2,{},CCRTTT
2023-08-22 03:05:12.876075,346,1,0,{},RTTTTT
2023-08-22 03:05:13.875817,347,1,0,{},RTTTTT
2023-08-22 03:05:14.875603,348,1,0,{},RTTTTT
2023-08-22 03:05:15.875453,349,1,0,{},RTTTTT
2023-08-22 03:05:16.876146,350,1,0,{},HRTTTT
2023-08-22 03:05:17.875548,351,1,0,{},RTTTTT
2023-08-22 03:05:18.875217,352,1,0,{},RTTTTT
2023-08-22 03:05:19.875440,353,1,0,{},RTTTTT
2023-08-22 03:05:20.875432,354,1,0,{},RTTTTT
2023-08-22 03:05:21.875015,355,2,1,{},CRTTTT
2023-08-22 03:05:22.875710,356,1,0,{},RTTTTT
2023-08-22 03:05:23.875245,357,1,0,{},RTTTTT
2023-08-22 03:05:24.876631,358,1,0,{},RTTTTT
2023-08-22 03:05:25.875723,359,2,1,{},CRTTTT
2023-08-22 03:05:26.875688,360,1,0,{},RTTTTT
2023-08-22 03:05:27.875313,361,1,0,{},RTTTTT
2023-08-22 03:05:28.875647,362,1,0,{},RTTTTT
2023-08-22 03:05:29.875883,363,1,0,{},RTTTTT
2023-08-22 03:05:30.875299,364,1,0,{},RTTTTT
2023-08-22 03:05:31.876034,365,2,1,{},CRTTTT
2023-08-22 03:05:32.876089,366,1,0,{},RTTTTT
2023-08-22 03:05:33.875577,367,1,0,{},RTTTTT
2023-08-22 03:05:34.875897,368,1,0,{},RTTTTT
2023-08-22 03:05:35.875845,369,1,0,{},RTTTTT
2023-08-22 03:05:36.876040,370,2,1,{},CRTTTT
2023-08-22 03:05:37.876185,371,1,0,{},RTTTTT
2023-08-22 03:05:38.875251,372,1,0,{},RTTTTT
2023-08-22 03:05:39.876409,373,1,0,{},RTTTTT
2023-08-22 03:05:40.875102,374,1,0,{},RTTTTT
2023-08-22 03:05:41.876273,375,1,0,{},RTTTTT
2023-08-22 03:05:42.875744,376,1,0,{},RTTTTT
2023-08-22 03:05:43.876681,377,1,0,{},RTTTTT
2023-08-22 03:05:44.875386,378,2,1,{},CRTTTT
2023-08-22 03:05:45.875727,379,1,0,{},RTTTTT
2023-08-22 03:05:46.876312,380,1,0,{},RTTTTT
2023-08-22 03:05:47.875692,381,1,0,{},RTTTTT
2023-08-22 03:05:48.875360,382,1,0,{},RTTTTT
2023-08-22 03:05:49.875613,383,1,0,{},RTTTTT
2023-08-22 03:05:50.876290,384,1,0,{},RTTTTT
2023-08-22 03:05:51.876044,385,1,0,{},RTTTTT
2023-08-22 03:05:52.875463,386,1,0,{},RTTTTT
2023-08-22 03:05:53.876541,387,2,1,{},CRTTTT
2023-08-22 03:05:54.875806,388,1,0,{},RTTTTT
2023-08-22 03:05:55.875046,389,1,0,{},RTTTTT
2023-08-22 03:05:56.874887,390,1,0,{},RTTTTT
2023-08-22 03:05:57.875906,391,1,0,{},RTTTTT
2023-08-22 03:05:58.874163,392,1,0,{},RTTTTT
2023-08-22 03:05:59.874768,393,1,0,{},RTTTTT
2023-08-22 03:06:00.875559,394,1,0,{},RTTTTT
2023-08-22 03:06:01.875001,395,1,0,{},RTTTTT
2023-08-22 03:06:02.874096,396,1,0,{},RTTTTT
2023-08-22 03:06:03.873747,397,1,0,{},RTTTTT
2023-08-22 03:06:04.874853,398,1,0,{},RTTTTT
2023-08-22 03:06:05.874734,399,1,0,{},RTTTTT
2023-08-22 03:06:06.875340,400,1,0,{},RTTTTT
2023-08-22 03:06:07.874470,401,1,0,{},RTTTTT
2023-08-22 03:06:08.874762,402,1,0,{},RTTTTT
2023-08-22 03:06:09.874658,403,1,0,{},RTTTTT
2023-08-22 03:06:10.874331,404,1,0,{},RTTTTT
2023-08-22 03:06:11.876602,405,1,0,{},RTTTTT
2023-08-22 03:06:12.875882,406,2,1,{},CRTTTT
2023-08-22 03:06:13.875660,407,1,0,{},HRTTTT
2023-08-22 03:06:14.875358,408,1,0,{},RTTTTT
2023-08-22 03:06:15.876105,409,1,0,{},RTTTTT
2023-08-22 03:06:16.875173,410,1,0,{},RTTTTT
2023-08-22 03:06:17.874669,411,1,0,{},RTTTTT
2023-08-22 03:06:18.875038,412,1,0,{},RTTTTT
2023-08-22 03:06:19.875164,413,1,0,{},RTTTTT
2023-08-22 03:06:20.875722,414,1,0,{},RTTTTT
2023-08-22 03:06:21.875763,415,1,0,{},RTTTTT
2023-08-22 03:06:22.874342,416,1,0,{},RTTTTT
2023-08-22 03:06:23.874655,417,1,0,{},RTTTTT
