TIMESTAMP,EP,N_RX,N_ERR_PKTS,ERRS,SLOTS
2023-08-22 02:25:26.515775,60,1,0,{},RTTTTT
2023-08-22 02:25:27.515495,61,1,0,{},RTTTTT
2023-08-22 02:25:28.516340,62,2,1,{},CRTTTT
2023-08-22 02:25:29.515984,63,1,0,{},RTTTTT
2023-08-22 02:25:30.516663,64,2,1,{},CRTTTT
2023-08-22 02:25:31.516181,65,1,0,{},RTTTTT
2023-08-22 02:25:32.516231,66,1,0,{},RTTTTT
2023-08-22 02:25:33.516340,67,2,1,{},CRTTTT
2023-08-22 02:25:34.516509,68,1,0,{},RTTTTT
2023-08-22 02:25:35.516455,69,2,1,{},CRTTTT
2023-08-22 02:25:36.516430,70,1,0,{},RTTTTT
2023-08-22 02:25:37.516850,71,1,0,{},RTTTTT
2023-08-22 02:25:38.516362,72,1,0,{},RTTTTT
2023-08-22 02:25:39.516416,73,1,0,{},RTTTTT
2023-08-22 02:25:40.516398,74,1,0,{},RTTTTT
2023-08-22 02:25:41.516215,75,1,0,{},RTTTTT
2023-08-22 02:25:42.516084,76,1,0,{},RTTTTT
2023-08-22 02:25:43.516145,77,2,1,{},CRTTTT
2023-08-22 02:25:44.516149,78,2,1,{},CRTTTT
2023-08-22 02:25:45.516895,79,1,0,{},RTTTTT
2023-08-22 02:25:46.515847,80,1,0,{},RTTTTT
2023-08-22 02:25:47.516221,81,1,0,{},RTTTTT
2023-08-22 02:25:48.515491,82,1,0,{},RTTTTT
2023-08-22 02:25:49.515715,83,1,0,{},RTTTTT
2023-08-22 02:25:50.518362,84,1,0,{},RTTTTT
2023-08-22 02:25:51.516153,85,2,1,{},CRTTTT
2023-08-22 02:25:52.516397,86,1,0,{},RTTTTT
2023-08-22 02:25:53.516293,87,1,0,{},RTTTTT
2023-08-22 02:25:54.517870,88,1,0,{},RTTTTT
2023-08-22 02:25:55.516493,89,1,0,{},RTTTTT
2023-08-22 02:25:56.516243,90,2,1,{},CRTTTT
2023-08-22 02:25:57.518024,91,1,0,{},HRTTTT
2023-08-22 02:25:58.516585,92,2,1,{},CRTTTT
2023-08-22 02:25:59.516333,93,1,0,{},RTTTTT
2023-08-22 02:26:00.516394,94,1,0,{},RTTTTT
2023-08-22 02:26:01.516773,95,1,0,{},RTTTTT
2023-08-22 02:26:02.515763,96,1,0,{},RTTTTT
2023-08-22 02:26:03.515167,97,2,1,{},CRTTTT
2023-08-22 02:26:04.515462,98,1,0,{},RTTTTT
2023-08-22 02:26:05.515732,99,1,0,{},RTTTTT
2023-08-22 02:26:06.515811,100,1,0,{},RTTTTT
2023-08-22 02:26:07.516347,101,2,1,{},CRTTTT
2023-08-22 02:26:08.515974,102,1,0,{},RTTTTT
2023-08-22 02:26:09.516194,103,1,0,{},RTTTTT
2023-08-22 02:26:10.517101,104,1,0,{},RTTTTT
2023-08-22 02:26:11.516048,105,1,0,{},RTTTTT
2023-08-22 02:26:12.516498,106,1,0,{},RTTTTT
2023-08-22 02:26:13.515395,107,1,0,{},RTTTTT
2023-08-22 02:26:14.518798,108,1,0,{},RTTTTT
2023-08-22 02:26:15.517840,109,1,0,{},RTTTTT
2023-08-22 02:26:16.516539,110,1,0,{},RTTTTT
2023-08-22 02:26:17.519641,111,1,0,{},RTTTTT
2023-08-22 02:26:18.516705,112,1,0,{},RTTTTT
2023-08-22 02:26:19.516342,113,1,0,{},RTTTTT
2023-08-22 02:26:20.516731,114,1,0,{},RTTTTT
2023-08-22 02:26:21.518798,115,1,0,{},RTTTTT
2023-08-22 02:26:22.516644,116,1,0,{},RTTTTT
2023-08-22 02:26:23.516102,117,1,0,{},RTTTTT
2023-08-22 02:26:24.518622,118,1,0,{},RTTTTT
2023-08-22 02:26:25.516772,119,2,1,{},CRTTTT
2023-08-22 02:26:26.516767,120,1,0,{},RTTTTT
2023-08-22 02:26:27.516074,121,1,0,{},RTTTTT
2023-08-22 02:26:28.516636,122,1,0,{},RTTTTT
2023-08-22 02:26:29.515758,123,1,0,{},RTTTTT
2023-08-22 02:26:30.518141,124,1,0,{},RTTTTT
2023-08-22 02:26:31.516532,125,1,0,{},RTTTTT
2023-08-22 02:26:32.516169,126,1,0,{},RTTTTT
2023-08-22 02:26:33.518741,127,1,0,{},RTTTTT
2023-08-22 02:26:34.517645,128,1,0,{},RTTTTT
2023-08-22 02:26:35.517425,129,2,1,{},CRTTTT
2023-08-22 02:26:36.517574,130,1,0,{},RTTTTT
2023-08-22 02:26:37.516853,131,1,0,{},RTTTTT
2023-08-22 02:26:38.517314,132,1,0,{},RTTTTT
2023-08-22 02:26:39.516754,133,2,1,{},CRTTTT
2023-08-22 02:26:40.518156,134,1,0,{},RTTTTT
2023-08-22 02:26:41.516911,135,1,0,{},RTTTTT
2023-08-22 02:26:42.518171,136,2,1,{},CRTTTT
2023-08-22 02:26:43.515950,137,2,1,{},CRTTTT
2023-08-22 02:26:44.517419,138,1,0,{},RTTTTT
2023-08-22 02:26:45.518078,139,1,0,{},RTTTTT
2023-08-22 02:26:46.518749,140,1,0,{},HRTTTT
2023-08-22 02:26:47.516524,141,1,0,{},RTTTTT
