Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-12-06 23:10:21.098106,2,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:22.098121,3,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:23.098430,4,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:24.097132,5,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:25.097086,6,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:26.097546,7,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:27.097596,8,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:28.097942,9,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:29.098506,10,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:30.098484,11,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:31.098167,12,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:32.098055,13,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:33.098875,14,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:34.099478,15,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:35.098008,16,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:36.098556,17,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:37.098703,18,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:38.098555,19,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:39.099044,20,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:40.099228,21,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:41.099700,22,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:42.098621,23,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:43.099818,24,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:44.099040,25,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:45.098226,26,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:46.098404,27,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:47.098909,28,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:48.099799,29,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:49.099151,30,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:50.099064,31,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:51.099245,32,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:52.099394,33,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:53.098979,34,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:54.100124,35,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:55.098922,36,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:56.098161,37,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:57.098869,38,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:58.098479,39,1,0,0,-1,{},RTTTTT
2023-12-06 23:10:59.099193,40,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:00.099416,41,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:01.098955,42,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:02.099632,43,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:03.098687,44,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:04.099905,45,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:05.098665,46,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:06.098867,47,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:07.099063,48,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:08.099289,49,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:09.099452,50,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:10.099132,51,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:11.098756,52,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:12.099274,53,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:13.099002,54,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:14.099995,55,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:15.099579,56,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:16.099298,57,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:17.099365,58,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:18.098590,59,1,0,0,-1,{},RTTTTT
2023-12-06 23:11:19.099523,60,1,0,0,-1,{},RTTTTT
