TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,SLOTS
[2023-08-08 14:46:53],107,1,0,SLTS:HRTTTT
[2023-08-08 14:46:54],108,2,1,SLTS:CRTTTT
[2023-08-08 14:46:55],109,2,1,SLTS:HCRTTT
[2023-08-08 14:46:56],110,1,0,SLTS:RTTTTT
[2023-08-08 14:46:57],111,1,0,SLTS:HRTTTT
[2023-08-08 14:46:58],112,1,0,SLTS:RTTTTT
[2023-08-08 14:46:59],113,2,1,SLTS:CRTTTT
[2023-08-08 14:47:00],114,2,1,SLTS:CRTTTT
[2023-08-08 14:47:01],115,1,0,SLTS:RTTTTT
[2023-08-08 14:47:02],116,1,0,SLTS:RTTTTT
[2023-08-08 14:47:03],117,1,0,SLTS:HRTTTT
[2023-08-08 14:47:04],118,1,0,SLTS:RTTTTT
[2023-08-08 14:47:05],119,1,0,SLTS:HRTTTT
[2023-08-08 14:47:06],120,2,1,SLTS:CRTTTT
[2023-08-08 14:47:07],121,1,0,SLTS:RTTTTT
[2023-08-08 14:47:08],122,1,0,SLTS:RTTTTT
[2023-08-08 14:47:09],123,2,1,SLTS:HCRTTT
[2023-08-08 14:47:10],124,1,0,SLTS:RTTTTT
[2023-08-08 14:47:11],125,2,1,SLTS:CRTTTT
[2023-08-08 14:47:12],126,1,0,SLTS:HHRTTT
